		dados de 2008	ind		densidade (indiv/ha)	abundancia (indivi)			densidade	abundancia
4C	AP	Schiffornis virescens	1	25	1,699	1,000	POS	POS	8,115	4,780
4C	AP	Turdus albicollis	1	15	4,718					
4C	AP	Turdus albicollis	1	25	1,699	3,779	POS			
										
1A	MN	Sittasomus griseicapillus	2	25	3,397	2,001	ITR	ITR	6,794	4,002
1A	MN	Leucochloris albicollis	2	15	9,436	5,558	NI	NI	9,436	5,558
1A	MN	Phylloscartes ventralis	3	15	14,154					
1B	MN	Phylloscartes ventralis	2	25	3,397	10,338	MI	MI	19,250	11,338
1A	MN	Parula pitiayumi	1	15	4,718					
1C	MN	Parula pitiayumi	2	25	3,397	4,780	PID	PID	16,230	9,560
1A	MN	Basileuterus culicivorus	2	15	9,436					
1A	MN	Basileuterus culicivorus	2	25	3,397	7,559	FSAF	FSAF	68,129	40,128
1A	MN	Scytalopus notorius	1	25	1,699	1,000	FSAF			
1A	MN	Stephanophorus diadematus	1	25	1,699	1,000	POD	POD	8,493	5,002
1A	MN	Trogon surrucura	1	25	1,699	1,000	FFI	FFI	1,699	1,000
1A	MN	Cyclarhis gujanensis	1	25	1,699	1,000	PID			
1A	MN	Tolmomyias sulphurescens	1	25	1,699	1,000	MI			
1A	MN	Dysithamnus mentalis	1	5	42,463					
1A	MN	Dysithamnus mentalis	1	15	4,718	27,790	FSAF			
1B	MN	Heliobletus contaminatus	2	25	3,397	2,001	ITR			
1B	MN	Lathrotriccus euleri	1	15	4,718					
1C	MN	Lathrotriccus euleri	1	25	1,699	3,779	FSAF			
1B	MN	Vireo olivaceus	2	25	3,397	2,001	POD			
1B	MN	Basileuterus leucoblepharus	1	15	4,718					
1B	MN	Basileuterus leucoblepharus	2	25	3,397	4,780	FSGAF	FSGAF	9,814	5,780
1B	MN	Chamaeza campanisona	1	25	1,699	1,000	FSGAF			
1B	MN	Cacicus chrysopterus 	2	25	3,397	2,001	POD			
1B	MN	Schiffornis virescens	1	15	4,718					
1C	MN	Schiffornis virescens	1	25	1,699	3,779	POS	POS	8,115	4,780
1C	MN	Phyllomyias virescens 	1	25	1,699	1,000	PID			
1C	MN	Turdus albicollis	1	25	1,699	1,000	POS			
1C	MN	Phyllomyias fasciatus	1	15	4,718	2,779	PID			
										
2A	MN	Trogon rufus	1	15	4,718	2,779	FFI	FFI	11,135	6,558
2A	MN	Hemitriccus obsoletus	2	15	9,436					
2C	MN	Hemitriccus obsoletus	1	25	1,699	6,558	FSAF	FSAF	84,360	49,688
2A	MN	Camptostoma obsoletum	1	25	1,699	1,000	POD	POD	13,211	7,781
2A	MN	Tolmomyias sulphurescens	1	25	1,699	1,000	MI	MI	16,230	9,560
2A	MN	Basileuterus leucoblepharus	2	25	3,397	2,001	FSGAF	FSGAF	3,397	2,001
2C	MN	Basileuterus culicivorus	1	5	42,463					
2A	MN	Basileuterus culicivorus	3	15	14,154					
2A	MN	Basileuterus culicivorus	4	25	6,794	37,349	FSAF			
2A	MN	Heliobletus contaminatus	3	25	5,096	3,001	ITR	ITR	10,191	6,003
2A	MN	Parula pitiayumi	1	15	4,718					
2A	MN	Parula pitiayumi	1	25	1,699	3,779	PID	PID	13,211	7,781
2A	MN	Lathrotriccus euleri	1	15	4,718					
2A	MN	Lathrotriccus euleri	1	25	1,699	3,779	FSAF			
2A	MN	Myiopagis caniceps	1	25	1,699	1,000	PID			
2A	MN	Hemithraupis guira	2	25	3,397	2,001	POD			
2C	MN	Turdus rufiventris	1	15	4,718					
2A	MN	Turdus rufiventris	4	25	6,794	6,781	OB	OB	19,627	11,560
2A	MN	Cyanocorax chrysops	1	25	1,699	1,000	FFI			
2A	MN	Pipraeidea melanonota	1	15	4,718	2,779	POD			
2B	MN	Turdus albicollis	2	15	9,436					
2C	MN	Turdus albicollis	1	25	1,699	6,558	POS	POS	11,135	6,558
2B	MN	Xiphorhynchus fuscus	1	25	1,699	1,000	ITR			
2B	MN	Phylloscartes ventralis	2	15	9,436					
2C	MN	Phylloscartes ventralis	1	25	1,699	6,558	MI			
2B	MN	Phyllomyias fasciatus	1	25	1,699	1,000	PID			
2B	MN	Saltator similis	1	15	4,718	2,779	OB			
2B	MN	Phyllomyias virescens 	1	25	1,699	1,000	PID			
2B	MN	Trogon surrucura	1	15	4,718	2,779	FFI			
2C	MN	Tachyphonus coronatus	1	25	1,699	1,000	OB			
2C	MN	Cacicus chrysopterus 	1	25	1,699	1,000	POD			
2C	MN	Piaya cayana	1	25	1,699	1,000	MI			
2C	MN	Cranioleuca obsoleta	1	25	1,699	1,000	MI			
2C	MN	Vireo olivaceus	1	25	1,699	1,000	POD			
2C	MN	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR			
2C	MN	Cyclarhis gujanensis	1	25	1,699	1,000	PID			
2C	MN	Sittasomus griseicapillus	1	25	1,699	1,000	ITR			
2C	MN	Poospiza lateralis	1	25	1,699	1,000	OB			
2C	MN	Pyrrhocoma ruficeps 	2	25	3,397	2,001	FSAF			
										
3A	MN	Xenops rutilans	1	15	4,718	2,779	ITR	ITR	14,532	8,559
3A	MN	Parula pitiayumi	2	15	9,436					
3A	MN	Parula pitiayumi	2	25	3,397	7,559	PID	PID	24,345	14,339
3A	MN	Basileuterus culicivorus	3	15	14,154					
3A	MN	Basileuterus culicivorus	6	25	10,191	14,339	FSAF	FSAF	73,980	43,574
3A	MN	Turdus amaurochalinus	1	25	1,699	1,000	OB	OB	14,909	8,782
3A	MN	Vireo olivaceus	3	25	5,096	3,001	POD	POD	13,211	7,781
3A	MN	Pipraeidea melanonota	1	15	4,718					
3A	MN	Pipraeidea melanonota	2	25	3,397	4,780	POD			
3A	MN	Pachyramphus viridis	1	25	1,699	1,000	PID			
3A	MN	Turdus rufiventris	1	15	4,718					
3A	MN	Turdus rufiventris	1	25	1,699	3,779	OB			
3A	MN	Pyrrhocoma ruficeps 	3	15	14,154					
3B	MN	Pyrrhocoma ruficeps 	1	25	1,699	9,337	FSAF			
3C	MN	Cyclarhis gujanensis	1	15	4,718					
3A	MN	Cyclarhis gujanensis	1	25	1,699	3,779	PID			
3A	MN	Sittasomus griseicapillus	2	25	3,397	2,001	ITR			
3A	MN	Lathrotriccus euleri	2	15	9,436	5,558	FSAF			
3C	MN	Platyrinchus mystaceus 	1	15	4,718					
3B	MN	Platyrinchus mystaceus 	1	25	1,699	3,779	FSAF			
3B	MN	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF			
3B	MN	Trogon surrucura	1	25	1,699	1,000	FFI	FFI	1,699	1,000
3B	MN	Hylophilus poicilotis	2	25	3,397	2,001	IB	IB	3,397	2,001
3B	MN	Turdus amaurochalinus	1	25	1,699	1,000	OB			
3B	MN	Xiphorhynchus fuscus	1	15	4,718	2,779	ITR			
3B	MN	Heliobletus contaminatus	1	25	1,699	1,000	ITR			
3B	MN	Dysithamnus mentalis	3	25	5,096	3,001	FSAF			
3B	MN	Thamnophilus caerulescens	1	25	1,699	1,000	FSAF			
3C	MN	Hylopezus nattereri	1	15	4,718	2,779	FSAF			
3C	MN	Syndactyla rufosuperciliata	1	15	4,718	2,779	FSAF			
3C	MN	Basileuterus leucoblepharus	1	15	4,718	2,779	FSGAF	FSGAF	4,718	2,779
3C	MN	Phyllomyias burmeisteri	1	25	1,699	1,000	PID			
3C	MN	Saltator sp.	2	25	3,397	2,001	OB			
3C	MN	Turdus rufiventris	1	25	1,699	1,000	OB			
3C	MN	Schiffornis virescens	1	15	4,718	2,779	POS	POS	4,718	2,779
3C	MN	Phyllomyias fasciatus	1	25	1,699	1,000	PID			
										
4A	MN	Phyllomyias virescens 	2	25	3,397	2,001	PID	PID	8,493	5,002
4A	MN	Parula pitiayumi	2	25	3,397	2,001	PID			
4A	MN	Veniliornis spilogaster	2	25	3,397	2,001	ITR	ITR	10,191	6,003
4A	MN	Hemithraupis guira	5	25	8,493	5,002	POD	POD	22,081	13,006
