"Order" "Family.name" "Family" "Common.name" "Scientific.name" "X2022.IUCN.Red.List.category" "Forest.dependency" "Migratory.status"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Tufted Antshrike" "Mackenziaena severa" "LC" "Medium" "not a migrant"
"CORACIIFORMES" "Alcedinidae" "Kingfishers" "Ringed Kingfisher" "Megaceryle torquata" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Boat-billed Flycatcher" "Megarynchus pitangua" "LC" "Low" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Yellow-fronted Woodpecker" "Melanerpes flavifrons" "LC" "Medium" "not a migrant"
"FALCONIFORMES" "Falconidae" "Falcons, Caracaras" "Barred Forest-falcon" "Micrastur ruficollis" "LC" "Medium" "not a migrant"
"FALCONIFORMES" "Falconidae" "Falcons, Caracaras" "Collared Forest-falcon" "Micrastur semitorquatus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Grey-breasted Warbling-finch" "Microspingus cabanisi" "LC" "Medium" "not a migrant"
"FALCONIFORMES" "Falconidae" "Falcons, Caracaras" "Yellow-headed Caracara" "Milvago chimachima" "LC" "Does not normally occur in forest" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Grey-hooded Flycatcher" "Mionectes rufiventris" "LC" "High" "not a migrant"
"PASSERIFORMES" "Icteridae" "New World Blackbirds" "Shiny Cowbird" "Molothrus bonariensis" "LC" "Low" "full migrant"
"PASSERIFORMES" "Icteridae" "New World Blackbirds" "Giant Cowbird" "Molothrus oryzivorus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Shear-tailed Grey Tyrant" "Muscipipra vetula" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Swainson's Flycatcher" "Myiarchus swainsoni" "LC" "Low" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Southern Streaked Flycatcher" "Myiodynastes solitarius" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Atlantic Grey Elaenia" "Myiopagis caniceps" "LC" "High" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Greenish Elaenia" "Myiopagis viridicata" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Bran-colored Flycatcher" "Myiophobus fasciatus" "LC" "Low" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Eared Pygmy-tyrant" "Myiornis auricularis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Parulidae" "New World Warblers" "White-rimmed Warbler" "Myiothlypis leucoblephara" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Social Flycatcher" "Myiozetetes similis" "LC" "Low" "full migrant"
"CAPRIMULGIFORMES" "Nyctibiidae" "Potoos" "Common Potoo" "Nyctibius griseus" "LC" "Medium" "full migrant"
"GALLIFORMES" "Odontophoridae" "New World Quails" "Spot-winged Wood-quail" "Odontophorus capueira" "LC" "High" "not a migrant"
"PASSERIFORMES" "Tityridae" "Tityras and allies" "Chestnut-crowned Becard" "Pachyramphus castaneus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tityridae" "Tityras and allies" "White-winged Becard" "Pachyramphus polychopterus" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tityridae" "Tityras and allies" "Crested Becard" "Pachyramphus validus" "LC" "High" "full migrant"
"PASSERIFORMES" "Tityridae" "Tityras and allies" "Green-backed Becard" "Pachyramphus viridis" "LC" "Medium" "not a migrant"
"COLUMBIFORMES" "Columbidae" "Pigeons, Doves" "Pale-vented Pigeon" "Patagioenas cayennensis" "LC" "Medium" "not a migrant"
"COLUMBIFORMES" "Columbidae" "Pigeons, Doves" "Picazuro Pigeon" "Patagioenas picazuro" "LC" "Medium" "full migrant"
"GALLIFORMES" "Cracidae" "Guans, Chachalacas, Curassows" "Dusky-legged Guan" "Penelope obscura" "LC" "Medium" "not a migrant"
"GALLIFORMES" "Cracidae" "Guans, Chachalacas, Curassows" "Rusty-margined Guan" "Penelope superciliaris" "NT" "Medium" "not a migrant"
